"Städte nach Fläche, Bevölkerung und Bevölkerungsdichte am 31.12.2024 (Jahr)",,,,,,,,
Laufende Nummer,Amtlicher Regionalschlüssel,Stadt,Postleitzahl ,Fläche km² ¹⁾,Bevölkerung auf Grundlage des ZENSUS 2022 ²⁾ insgesamt,Bevölkerung auf Grundlage des ZENSUS 2022 ²⁾ männlich,Bevölkerung auf Grundlage des ZENSUS 2022 ²⁾ weiblich,Bevölkerung auf Grundlage des ZENSUS 2022 ²⁾             je km²
1,110000000000,"Berlin, Stadt",10178,  891.12,3 685 265,1 810 259,1 875 006,4 136
2,020000000000,"Hamburg, Freie und Hansestadt",20038,  755.09,1 862 565, 911 888, 950 677,2 467
3,091620000000,"München, Landeshauptstadt",80313,  310.70,1 505 005, 737 442, 767 563,4 844
4,053150000000,"Köln, Stadt",50667,  405.02,1 024 621, 498 050, 526 571,2 530
5,064120000000,"Frankfurt am Main, Stadt",60311,  248.31, 756 021, 371 235, 384 786,3 045
6,051110000000,"Düsseldorf, Stadt",40213,  217.41, 618 685, 299 070, 319 615,2 846
7,081110000000,"Stuttgart, Landeshauptstadt",70173,  207.33, 612 663, 304 725, 307 938,2 955
8,147130000000,"Leipzig, Stadt",04109,  297.80, 611 850, 301 582, 310 268,2 055
9,059130000000,"Dortmund, Stadt",44135,  280.71, 603 462, 297 860, 305 602,2 150
10,040110000000,"Bremen, Stadt",28195,  318.20, 586 271, 289 585, 296 686,1 842
11,051130000000,"Essen, Stadt",45121,  210.34, 574 682, 279 666, 295 016,2 732
12,146120000000,"Dresden, Stadt",01067,  328.48, 564 904, 280 262, 284 642,1 720
13,095640000000,Nürnberg,90403,  186.44, 529 508, 260 358, 269 150,2 840
14,032410001001,"Hannover, Landeshauptstadt",30159,  204.30, 522 131, 256 255, 265 876,2 556
15,051120000000,"Duisburg, Stadt",47051,  232.84, 502 270, 249 294, 252 976,2 157
16,059110000000,"Bochum, Stadt",44787,  145.66, 358 676, 176 530, 182 146,2 462
17,051240000000,"Wuppertal, Stadt",42275,  168.39, 358 193, 176 780, 181 413,2 127
18,057110000000,"Bielefeld, Stadt",33602,  258.83, 331 605, 161 011, 170 594,1 281
19,053140000000,"Bonn, Stadt",53111,  141.06, 323 336, 155 766, 167 570,2 292
20,082220000000,"Mannheim, Universitätsstadt",68159,  144.97, 318 035, 159 246, 158 789,2 194
21,082120000000,"Karlsruhe, Stadt",76133,  173.42, 309 050, 156 995, 152 055,1 782
22,055150000000,"Münster, Stadt",48143,  303.28, 308 258, 147 463, 160 795,1 016
23,097610000000,Augsburg,86150,  146.85, 301 105, 148 796, 152 309,2 050
24,064140000000,"Wiesbaden, Landeshauptstadt",65183,  203.87, 288 850, 139 893, 148 957,1 417
25,055130000000,"Gelsenkirchen, Stadt",45879,  104.94, 267 930, 132 550, 135 380,2 553
26,051160000000,"Mönchengladbach, Stadt",41061,  170.47, 267 213, 132 876, 134 337,1 568
27,053340002002,"Aachen, Stadt",52058,  160.85, 262 670, 137 292, 125 378,1 633
28,031010000000,"Braunschweig, Stadt",38100,  192.70, 252 962, 125 170, 127 792,1 313
29,010020000000,"Kiel, Landeshauptstadt",24103,  118.65, 252 668, 123 532, 129 136,2 130
30,145110000000,"Chemnitz, Stadt",09111,  221.03, 245 618, 120 585, 125 033,1 111
31,150030000000,"Magdeburg, Landeshauptstadt",39104,  201.68, 244 329, 121 201, 123 128,1 211
32,083110000000,"Freiburg im Breisgau, Stadt",79098,  153.04, 237 460, 113 047, 124 413,1 552
33,051140000000,"Krefeld, Stadt",47798,  137.77, 231 406, 113 754, 117 652,1 680
34,150020000000,"Halle (Saale), Stadt",06108,  135.56, 226 767, 109 591, 117 176,1 673
35,073150000000,"Mainz, Stadt",55116,  97.73, 224 684, 109 498, 115 186,2 299
36,160510000000,"Erfurt, Stadt",99084,  269.91, 218 793, 106 836, 111 957, 811
37,010030000000,"Lübeck, Hansestadt",23539,  214.19, 216 889, 104 309, 112 580,1 013
38,051190000000,"Oberhausen, Stadt",46045,  77.09, 213 646, 103 882, 109 764,2 771
39,130030000000,"Rostock, Hanse- und Universitätsstadt",18055,  181.36, 205 307, 100 104, 105 203,1 132
40,066110000000,"Kassel, documenta-Stadt",34117,  106.79, 197 230, 95 933, 101 297,1 847
41,059140000000,"Hagen, Stadt der FernUniversität",58095,  160.45, 190 384, 93 728, 96 656,1 187
42,120540000000,"Potsdam, Stadt",14469,  188.24, 184 754, 89 228, 95 526, 981
43,100410100100,"Saarbrücken, Landeshauptstadt",66111,  167.52, 182 971, 91 230, 91 741,1 092
44,059150000000,"Hamm, Stadt",59065,  226.66, 179 968, 89 142, 90 826, 794
45,073140000000,"Ludwigshafen am Rhein, Stadt",67059,  77.43, 177 222, 89 845, 87 377,2 289
46,034030000000,"Oldenburg (Oldenburg), Stadt",26105,  103.09, 176 614, 85 370, 91 244,1 713
47,051170000000,"Mülheim an der Ruhr, Stadt",45468,  91.28, 173 050, 83 996, 89 054,1 896
48,053160000000,"Leverkusen, Stadt",51373,  78.87, 168 581, 82 966, 85 615,2 137
49,064110000000,"Darmstadt, Wissenschaftsstadt",64283,  122.07, 167 029, 85 330, 81 699,1 368
50,034040000000,"Osnabrück, Stadt",49074,  119.80, 166 057, 80 775, 85 282,1 386
51,051220000000,"Solingen, Klingenstadt",42651,  89.54, 165 626, 81 112, 84 514,1 850
52,057740032032,"Paderborn, Stadt",33104,  179.59, 156 378, 78 031, 78 347, 871
53,059160000000,"Herne, Stadt",44623,  51.42, 155 851, 76 396, 79 455,3 031
54,082210000000,"Heidelberg, Stadt",69117,  108.83, 155 756, 74 597, 81 159,1 431
55,051620024024,"Neuss, Stadt",41460,  99.52, 154 317, 75 300, 79 017,1 551
56,093620000000,Regensburg,93019,  80.86, 151 389, 74 600, 76 789,1 872
57,091610000000,Ingolstadt,85047,  133.35, 141 185, 71 791, 69 394,1 059
58,082310000000,"Pforzheim, Stadt",75175,  97.99, 134 912, 66 418, 68 494,1 377
59,096630000000,Würzburg,97070,  87.60, 133 258, 63 762, 69 496,1 521
60,064130000000,"Offenbach am Main, Stadt",63065,  44.88, 132 746, 66 705, 66 041,2 958
61,095630000000,Fürth,90744,  63.35, 132 036, 65 040, 66 996,2 084
62,081210000000,"Heilbronn, Universitätsstadt",74072,  99.89, 131 986, 66 833, 65 153,1 321
63,084210000000,"Ulm, Universitätsstadt",89073,  118.68, 129 882, 64 087, 65 795,1 094
64,031030000000,"Wolfsburg, Stadt",38440,  204.62, 129 560, 64 754, 64 806, 633
65,031590016016,"Göttingen, Stadt",37083,  117.02, 127 259, 62 429, 64 830,1 087
66,084150061061,"Reutlingen, Stadt",72764,  87.04, 118 852, 58 826, 60 026,1 365
67,040120000000,"Bremerhaven, Stadt",27576,  101.41, 118 610, 59 076, 59 534,1 170
68,055120000000,"Bottrop, Stadt",46236,  100.61, 118 535, 57 615, 60 920,1 178
69,095620000000,Erlangen,91051,  76.96, 115 928, 57 672, 58 256,1 506
70,055620032032,"Recklinghausen, Stadt",45657,  66.50, 115 344, 56 156, 59 188,1 734
71,051200000000,"Remscheid, Stadt",42853,  74.52, 113 828, 56 768, 57 060,1 527
72,071110000000,"Koblenz, Stadt",56068,  105.25, 113 378, 56 150, 57 228,1 077
73,053780004004,"Bergisch Gladbach, Stadt",51465,  83.09, 111 361, 53 572, 57 789,1 340
74,160530000000,"Jena, Stadt",07743,  114.77, 109 725, 53 798, 55 927, 956
75,031020000000,"Salzgitter, Stadt",38226,  224.49, 104 970, 52 702, 52 268, 468
76,072110000000,"Trier, Stadt",54290,  117.06, 104 342, 51 163, 53 179, 891
77,059700040040,"Siegen, Universitätsstadt",57072,  114.69, 102 685, 51 115, 51 570, 895
78,051700024024,"Moers, Stadt",47441,  67.64, 101 503, 49 277, 52 226,1 501
79,057540008008,"Gütersloh, Stadt",33330,  112.02, 100 479, 49 731, 50 748, 897
80,073120000000,"Kaiserslautern, Stadt",67657,  139.70, 100 426, 50 655, 49 771, 719
81,032540021021,"Hildesheim, Stadt",31134,  92.29, 98 510, 47 126, 51 384,1 067
82,130040000000,"Schwerin, Landeshauptstadt",19053,  130.52, 98 308, 47 222, 51 086, 753
83,064350014014,"Hanau, Brüder-Grimm-Stadt",63450,  76.28, 97 956, 48 325, 49 631,1 284
84,010010000000,"Flensburg, Stadt",24937,  56.73, 96 326, 47 651, 48 675,1 698
85,081160019019,"Esslingen am Neckar, Stadt",73728,  46.43, 96 182, 48 555, 47 627,2 072
86,160520000000,"Gera, Stadt",07545,  152.18, 95 608, 46 893, 48 715, 628
87,120520000000,"Cottbus/Chóśebuz, Stadt",03046,  165.61, 95 123, 46 134, 48 989, 574
88,053580008008,"Düren, Stadt",52349,  85.01, 94 568, 47 041, 47 527,1 112
89,081180048048,"Ludwigsburg, Stadt",71638,  43.34, 92 858, 45 442, 47 416,2 143
90,084160041041,"Tübingen, Universitätsstadt",72070,  108.07, 92 322, 43 500, 48 822, 854
91,059620024024,"Iserlohn, Stadt",58636,  125.49, 91 811, 44 796, 47 015, 732
92,059540036036,"Witten, Stadt",58452,  72.40, 91 808, 44 321, 47 487,1 268
93,083265004074,"Villingen-Schwenningen, Stadt",78050,  165.53, 89 756, 44 240, 45 516, 542
94,051580028028,"Ratingen, Stadt",40878,  88.74, 89 368, 43 531, 45 837,1 007
95,065310005005,"Gießen, Universitätsstadt",35390,  72.61, 89 179, 44 120, 45 059,1 228
96,145240330330,"Zwickau, Stadt, Hochschulstadt",08056,  102.58, 87 410, 43 021, 44 389, 852
97,083355004043,"Konstanz, Universitätsstadt",78462,  54.12, 86 919, 41 634, 45 285,1 606
98,055620024024,"Marl, Stadt",45772,  87.76, 86 766, 42 498, 44 268, 989
99,073190000000,"Worms, Stadt",67547,  108.73, 86 753, 43 523, 43 230, 798
100,059780024024,"Lünen, Stadt",44532,  59.39, 86 163, 41 922, 44 241,1 451
101,057700024024,"Minden, Stadt",32423,  101.12, 84 013, 41 369, 42 644, 831
102,010600063063,"Norderstedt, Stadt",22846,  58.10, 82 844, 40 389, 42 455,1 426
103,051580032032,"Velbert, Stadt",42551,  74.90, 82 463, 40 323, 42 140,1 101
104,034010000000,"Delmenhorst, Stadt",27749,  62.45, 81 406, 40 106, 41 300,1 304
105,010040000000,"Neumünster, Stadt",24534,  71.66, 79 809, 39 742, 40 067,1 114
106,051660032032,"Viersen, Stadt",41747,  91.10, 78 373, 38 634, 39 739, 860
107,055660076076,"Rheine, Stadt",48431,  145.00, 77 209, 38 071, 39 138, 532
108,094610000000,Bamberg,96031,  54.62, 77 150, 37 822, 39 328,1 412
109,053820068068,"Troisdorf, Stadt",53840,  62.00, 75 901, 37 451, 38 450,1 224
110,034050000000,"Wilhelmshaven, Stadt",26382,  107.11, 75 745, 37 881, 37 864, 707
111,055620014014,"Gladbeck, Stadt",45964,  35.97, 75 499, 37 076, 38 423,2 099
112,150010000000,"Dessau-Roßlau, Stadt",06844,  245.78, 75 402, 36 058, 39 344, 307
113,055620012012,"Dorsten, Stadt",46284,  171.20, 75 277, 36 784, 38 493, 440
114,059580004004,"Arnsberg, Stadt",59759,  193.72, 74 879, 36 788, 38 091, 387
115,033550022022,"Lüneburg, Hansestadt",21335,  70.50, 74 785, 35 816, 38 969,1 061
116,057660020020,"Detmold, Stadt",32756,  129.39, 74 278, 35 949, 38 329, 574
117,120510000000,"Brandenburg an der Havel, Stadt",14770,  229.73, 74 113, 36 154, 37 959, 323
118,065340014014,"Marburg, Universitätsstadt",35037,  123.91, 73 544, 34 790, 38 754, 594
119,055620004004,"Castrop-Rauxel, Stadt",44575,  51.68, 73 282, 35 955, 37 327,1 418
120,055540008008,"Bocholt, Stadt",46395,  119.40, 73 257, 36 160, 37 097, 614
121,096610000000,Aschaffenburg,63701,  62.45, 73 091, 35 768, 37 323,1 170
122,094620000000,Bayreuth,95410,  66.89, 72 940, 35 859, 37 081,1 090
123,092610000000,Landshut,84026,  65.83, 71 863, 35 242, 36 621,1 092
124,059620032032,"Lüdenscheid, Stadt",58507,  87.02, 71 212, 34 940, 36 272, 818
125,059740028028,"Lippstadt, Stadt",59555,  113.68, 68 739, 33 967, 34 772, 605
126,097630000000,Kempten (Allgäu),87435,  63.28, 67 645, 33 233, 34 412,1 069
127,081365001088,"Aalen, Stadt",73430,  146.58, 67 621, 33 739, 33 882, 461
128,057580012012,"Herford, Hansestadt",32052,  79.15, 67 503, 33 040, 34 463, 853
129,071380045045,"Neuwied, Stadt",56564,  86.50, 67 083, 33 106, 33 977, 776
130,051700008008,"Dinslaken, Stadt",46535,  47.66, 66 993, 32 354, 34 639,1 406
131,033510006006,"Celle, Stadt",29221,  176.02, 66 834, 32 190, 34 644, 380
132,053620032032,"Kerpen, Kolpingstadt",50171,  113.96, 66 585, 33 018, 33 567, 584
133,051620008008,"Grevenbroich, Stadt",41515,  102.52, 65 983, 32 248, 33 735, 644
134,160550000000,"Weimar, Stadt",99423,  84.47, 65 954, 31 575, 34 379, 781
135,064330012012,"Rüsselsheim am Main, Stadt",65428,  58.29, 65 627, 32 979, 32 648,1 126
136,145230320320,"Plauen, Stadt",08523,  102.11, 65 599, 32 104, 33 495, 642
137,066310009009,"Fulda, Stadt",36037,  104.05, 65 434, 32 297, 33 137, 629
138,091630000000,Rosenheim,83013,  37.22, 65 274, 32 352, 32 922,1 754
139,081365007065,"Schwäbisch Gmünd, Stadt",73525,  113.81, 64 416, 31 403, 33 013, 566
140,051620004004,"Dormagen, Stadt",41539,  85.50, 63 799, 31 811, 31 988, 746
141,083175010096,"Offenburg, Stadt",77652,  78.37, 62 993, 31 307, 31 686, 804
142,084355002016,"Friedrichshafen, Stadt",88045,  69.93, 62 796, 31 071, 31 725, 898
143,097750135135,"Neu-Ulm, GKSt",89210,  80.95, 62 641, 31 378, 31 263, 774
144,053620028028,"Hürth, Stadt",50354,  51.22, 62 160, 30 408, 31 752,1 214
145,053620008008,"Bergheim, Stadt",50126,  96.34, 61 611, 30 753, 30 858, 640
146,081150045045,"Sindelfingen, Stadt",71063,  50.83, 61 422, 30 477, 30 945,1 208
147,055620020020,"Herten, Stadt",45699,  37.33, 60 941, 29 657, 31 284,1 632
148,051700048048,"Wesel, Stadt",46483,  122.56, 60 785, 29 630, 31 155, 496
149,130710107107,"Neubrandenburg, Vier-Tore-Stadt",17033,  86.12, 60 344, 28 977, 31 367, 701
150,053660016016,"Euskirchen, Stadt",53879,  139.49, 60 021, 29 528, 30 493, 430
151,051580020020,"Langenfeld (Rheinland), Stadt",40764,  41.15, 59 975, 29 207, 30 768,1 457
152,032410005005,"Garbsen, Stadt",30823,  79.49, 59 903, 29 210, 30 693, 754
153,081175005026,"Göppingen, Stadt",73033,  59.21, 58 937, 29 254, 29 683, 995
154,059780036036,"Unna, Stadt",59423,  88.56, 58 333, 28 101, 30 232, 659
155,032520006006,"Hameln, Stadt",31785,  102.53, 58 244, 27 988, 30 256, 568
156,053340032032,"Stolberg (Rhld.), Kupferstadt",52222,  98.48, 57 684, 28 530, 29 154, 586
157,053340012012,"Eschweiler, Stadt",52249,  75.75, 57 534, 28 247, 29 287, 760
158,081190079079,"Waiblingen, Stadt",71332,  42.75, 57 313, 28 233, 29 080,1 341
159,120530000000,"Frankfurt (Oder), Stadt",15230,  147.85, 57 107, 27 896, 29 211, 386
160,051620022022,"Meerbusch, Stadt",40670,  64.40, 57 078, 27 450, 29 628, 886
161,034560015015,"Nordhorn, Stadt",48529,  149.86, 56 973, 28 034, 28 939, 380
162,082110000000,"Baden-Baden, Stadt",76530,  140.19, 56 881, 27 107, 29 774, 406
163,064340001001,"Bad Homburg v. d. Höhe, Stadt",61343,  51.14, 56 688, 27 023, 29 665,1 108
164,053820056056,"Sankt Augustin, Stadt",53757,  34.22, 56 521, 27 810, 28 711,1 652
165,034540032032,"Lingen (Ems), Stadt",49808,  176.19, 56 498, 28 298, 28 200, 321
166,053620036036,"Pulheim, Stadt",50259,  72.15, 56 150, 27 154, 28 996, 778
167,130750039039,"Greifswald, Universitäts- und Hansestadt",17489,  50.81, 56 092, 26 434, 29 658,1 104
168,146260110110,"Görlitz, Stadt, Hochschulstadt",02826,  67.53, 55 186, 26 708, 28 478, 817
169,051580016016,"Hilden, Stadt",40721,  25.95, 55 157, 26 436, 28 721,2 126
170,065320023023,"Wetzlar, Stadt",35578,  75.65, 54 665, 26 647, 28 018, 723
171,096620000000,Schweinfurt,97420,  35.70, 54 481, 26 973, 27 508,1 526
172,071330006006,"Bad Kreuznach, Stadt",55545,  55.56, 54 168, 26 236, 27 932, 975
173,032410010010,"Langenhagen, Stadt",30853,  71.97, 54 142, 26 769, 27 373, 752
174,130730088088,"Stralsund, Hansestadt",18439,  54.59, 54 094, 26 004, 28 090, 991
175,057660008008,"Bad Salzuflen, Stadt",32105,  100.05, 53 958, 26 261, 27 697, 539
176,059540016016,"Hattingen, Stadt",45525,  71.67, 53 044, 25 640, 27 404, 740
177,092620000000,Passau,94030,  69.56, 53 039, 25 936, 27 103, 762
178,051540036036,"Kleve, Stadt",47533,  97.76, 53 028, 26 155, 26 873, 542
179,073160000000,"Neustadt an der Weinstraße, Stadt",67433,  117.09, 52 945, 25 734, 27 211, 452
180,055700004004,"Ahlen, Stadt",59227,  123.13, 52 666, 25 838, 26 828, 428
181,031580037037,"Wolfenbüttel, Stadt",38300,  78.74, 52 604, 25 797, 26 807, 668
182,053620024024,"Frechen, Stadt",50226,  45.06, 52 309, 25 657, 26 652,1 161
183,059620040040,"Menden (Sauerland), Stadt",58706,  86.10, 52 255, 25 644, 26 611, 607
184,055660028028,"Ibbenbüren, Stadt",49477,  108.87, 51 803, 25 655, 26 148, 476
185,081150003003,"Böblingen, Stadt",71032,  39.04, 51 483, 25 834, 25 649,1 319
186,083365003050,"Lörrach, Stadt",79539,  39.37, 51 349, 24 973, 26 376,1 304
187,010560015015,"Elmshorn, Stadt",25335,  21.36, 51 342, 25 316, 26 026,2 404
188,053740012012,"Gummersbach, Stadt",51643,  95.41, 51 290, 25 356, 25 934, 538
189,031570006006,"Peine, Stadt",31224,  119.84, 50 987, 25 227, 25 760, 425
190,083175007065,"Lahr/Schwarzwald, Stadt",77933,  69.84, 50 775, 25 531, 25 244, 727
191,082165005043,"Rastatt, Stadt",76437,  58.98, 50 741, 25 443, 25 298, 860
192,084365005064,"Ravensburg, Stadt",88212,  92.05, 50 628, 25 156, 25 472, 550
193,057700004004,"Bad Oeynhausen, Stadt",32545,  64.83, 50 620, 24 913, 25 707, 781
194,081355002019,"Heidenheim an der Brenz, Stadt",89522,  107.09, 50 618, 25 211, 25 407, 473
195,055540020020,"Gronau (Westf.), Stadt",48599,  78.82, 50 547, 25 307, 25 240, 641
196,033520011011,"Cuxhaven, Stadt",27472,  161.93, 49 697, 23 990, 25 707, 307
197,073180000000,"Speyer, Stadt",67346,  42.71, 49 564, 24 099, 25 465,1 160
198,081150028028,"Leonberg, Stadt",71229,  48.73, 49 480, 24 574, 24 906,1 015
199,051660036036,"Willich, Stadt",47877,  67.80, 49 413, 24 068, 25 345, 729
200,034020000000,"Emden, Stadt",26721,  112.34, 49 202, 24 352, 24 850, 438
201,059780004004,"Bergkamen, Stadt",59192,  44.90, 49 143, 24 413, 24 730,1 094
202,120650256256,"Oranienburg, Stadt",16515,  163.69, 49 122, 24 065, 25 057, 300
203,092630000000,Straubing,94315,  67.59, 49 002, 24 793, 24 209, 725
204,091780124124,"Freising, GKSt",85350,  88.59, 48 928, 24 527, 24 401, 552
205,053340004004,"Alsdorf, Stadt",52477,  31.68, 48 810, 24 259, 24 551,1 541
206,053620020020,"Erftstadt, Stadt",50374,  119.89, 48 772, 23 815, 24 957, 407
207,033590038038,"Stade, Hansestadt",21682,  110.07, 48 633, 23 862, 24 771, 442
208,053340016016,"Herzogenrath, Stadt",52134,  33.38, 48 574, 23 832, 24 742,1 455
209,073130000000,"Landau in der Pfalz, Stadt",76829,  82.94, 48 209, 23 254, 24 955, 581
210,053820012012,"Bornheim, Stadt",53332,  82.69, 48 203, 23 644, 24 559, 583
211,053820020020,"Hennef (Sieg), Stadt",53773,  105.89, 48 188, 23 591, 24 597, 455
212,073110000000,"Frankenthal (Pfalz), Stadt",67227,  43.88, 48 140, 23 910, 24 230,1 097
213,057540028028,"Rheda-Wiedenbrück, Stadt",33378,  86.72, 48 030, 24 059, 23 971, 554
214,055580016016,"Dülmen, Stadt",48249,  184.83, 47 989, 23 583, 24 406, 260
215,082155003009,"Bruchsal, Stadt",76646,  93.04, 47 784, 24 163, 23 621, 514
216,059740040040,"Soest, Stadt",59494,  85.81, 47 776, 23 569, 24 207, 557
217,083355005075,"Singen (Hohentwiel), Stadt",78224,  61.77, 47 621, 23 413, 24 208, 771
218,031530017017,"Goslar, Stadt",38640,  163.88, 47 419, 23 061, 24 358, 289
219,100430114114,"Neunkirchen, Kreisstadt",66538,  75.26, 47 344, 23 332, 24 012, 629
220,091740115115,"Dachau, GKSt",85221,  34.96, 47 138, 23 239, 23 899,1 348
221,081190020020,"Fellbach, Stadt",70734,  27.71, 47 120, 23 164, 23 956,1 700
222,084175001079,"Albstadt, Stadt",72458,  134.40, 46 950, 23 226, 23 724, 349
223,094640000000,Hof,95015,  58.02, 46 778, 23 093, 23 685, 806
224,064340008008,"Oberursel (Taunus), Stadt",61440,  45.34, 46 736, 22 613, 24 123,1 031
225,034590024024,"Melle, Stadt",49324,  253.95, 46 436, 23 045, 23 391, 183
226,160670029029,"Gotha, Stadt",99867,  69.58, 46 400, 22 770, 23 630, 667
227,057580004004,"Bünde, Stadt",32257,  59.30, 46 365, 22 619, 23 746, 782
228,081160077077,"Filderstadt, Stadt",70794,  38.55, 46 243, 22 962, 23 281,1 200
229,097620000000,Kaufbeuren,87600,  40.02, 46 193, 22 810, 23 383,1 154
230,082260096096,"Weinheim, Stadt",69469,  58.11, 45 852, 22 308, 23 544, 789
231,059780028028,"Schwerte, Hansestadt an der Ruhr",58239,  56.23, 45 821, 22 467, 23 354, 815
232,120630080080,"Falkensee, Stadt",14612,  43.34, 45 720, 22 396, 23 324,1 055
233,084165003036,"Rottenburg am Neckar, Stadt",72108,  142.27, 45 677, 22 616, 23 061, 321
234,053620012012,"Brühl, Stadt",50321,  36.12, 45 555, 22 130, 23 425,1 261
235,053700004004,"Erkelenz, Stadt",41812,  117.34, 45 315, 22 167, 23 148, 386
236,064380011011,"Rodgau, Stadt",63110,  65.04, 45 277, 22 282, 22 995, 696
237,150910375375,"Wittenberg, Lutherstadt",06886,  241.77, 45 249, 21 935, 23 314, 187
238,010560039039,"Pinneberg, Stadt",25421,  21.54, 44 865, 22 070, 22 795,2 083
239,032410012012,"Neustadt am Rübenberge, Stadt",31535,  358.96, 44 668, 22 080, 22 588, 124
240,120600020020,"Bernau bei Berlin, Stadt",16321,  104.19, 44 597, 21 558, 23 039, 428
241,032410011011,"Lehrte, Stadt",31275,  127.67, 44 255, 21 975, 22 280, 347
242,097640000000,Memmingen,87700,  70.11, 44 192, 21 839, 22 353, 630
243,051580004004,"Erkrath, Fundort des Neanderthalers, Stadt",40699,  26.88, 43 706, 21 019, 22 687,1 626
244,051580026026,"Monheim am Rhein, Stadt",40789,  23.05, 43 630, 21 106, 22 524,1 893
245,081185002079,"Bietigheim-Bissingen, Stadt",74321,  31.29, 43 556, 21 452, 22 104,1 392
246,100450114114,"Homburg, Kreisstadt",66424,  82.61, 43 382, 21 128, 22 254, 525
247,130740087087,"Wismar, Hansestadt",23952,  41.73, 43 329, 21 045, 22 284,1 038
248,051620016016,"Kaarst, Stadt",41564,  37.39, 43 295, 20 819, 22 476,1 158
249,053700016016,"Heinsberg, Stadt",52525,  92.21, 43 163, 21 521, 21 642, 468
250,055540012012,"Borken, Stadt",46325,  153.24, 43 035, 21 351, 21 684, 281
251,031510009009,"Gifhorn, Stadt",38518,  105.39, 42 726, 21 009, 21 717, 405
252,034520001001,"Aurich, Stadt",26603,  197.29, 42 612, 21 140, 21 472, 216
253,081275009076,"Schwäbisch Hall, Stadt",74523,  104.19, 42 598, 20 884, 21 714, 409
254,093610000000,Amberg,92224,  50.14, 42 553, 20 890, 21 663, 849
255,053820060060,"Siegburg, Stadt",53721,  23.66, 42 445, 20 895, 21 550,1 794
256,093630000000,Weiden i.d.OPf.,92637,  70.57, 42 444, 20 631, 21 813, 601
257,059780020020,"Kamen, Stadt",59174,  40.95, 42 319, 20 642, 21 677,1 033
258,081165001033,"Kirchheim unter Teck, Stadt",73230,  40.47, 42 299, 20 964, 21 335,1 045
259,051660016016,"Nettetal, Stadt",41334,  83.87, 41 955, 20 590, 21 365, 500
260,032410009009,"Laatzen, Stadt",30880,  34.16, 41 838, 20 213, 21 625,1 225
261,033530005005,"Buchholz in der Nordheide, Stadt",21244,  74.76, 41 737, 20 280, 21 457, 558
262,064380002002,"Dreieich, Stadt",63303,  53.27, 41 692, 20 633, 21 059, 783
263,081195003067,"Schorndorf, Stadt",73614,  56.83, 41 647, 20 572, 21 075, 733
264,145220180180,"Freiberg, Stadt, Universitätsstadt",09599,  48.31, 41 519, 20 838, 20 681, 859
265,120600052052,"Eberswalde, Stadt",16225,  93.63, 41 481, 20 277, 21 204, 443
266,032410021021,"Wunstorf, Stadt",31515,  125.74, 41 211, 20 126, 21 085, 328
267,053700020020,"Hückelhoven, Stadt",41836,  61.27, 41 192, 20 321, 20 871, 672
268,081160078078,"Leinfelden-Echterdingen, Stadt",70771,  29.89, 41 185, 20 387, 20 798,1 378
269,064310002002,"Bensheim, Stadt",64625,  57.83, 41 124, 20 183, 20 941, 711
270,093730147147,"Neumarkt i.d.OPf., GKSt",92305,  79.01, 41 103, 20 272, 20 831, 520
271,094630000000,Coburg,96450,  48.29, 41 064, 20 023, 21 041, 850
272,100410519519,"Völklingen, Stadt",66333,  67.10, 40 952, 20 017, 20 935, 610
273,091790123123,"Germering, GKSt",82110,  21.61, 40 916, 20 128, 20 788,1 893
274,033590010010,"Buxtehude, Hansestadt",21614,  76.69, 40 886, 20 138, 20 748, 533
275,095650000000,Schwabach,91126,  40.80, 40 835, 19 932, 20 903,1 001
276,057580024024,"Löhne, Stadt",32584,  59.51, 40 826, 20 100, 20 726, 686
277,081165005049,"Nürtingen, Stadt",72622,  46.88, 40 773, 20 217, 20 556, 870
278,160620041041,"Nordhausen, Stadt",99734,  108.24, 40 767, 20 047, 20 720, 377
279,160630105105,"Eisenach, Stadt",99817,  104.17, 40 747, 20 012, 20 735, 391
280,095610000000,Ansbach,91522,  99.91, 40 742, 19 754, 20 988, 408
281,053820024024,"Königswinter, Stadt",53639,  76.20, 40 574, 19 913, 20 661, 532
282,055540004004,"Ahaus, Stadt",48683,  151.24, 40 176, 20 138, 20 038, 266
283,053340036036,"Würselen, Stadt",52146,  34.39, 40 145, 19 567, 20 578,1 167
284,146285229270,"Pirna, Stadt",01796,  53.06, 40 128, 19 439, 20 689, 756
285,057660044044,"Lemgo, Stadt",32657,  100.85, 39 905, 19 753, 20 152, 396
286,081160080080,"Ostfildern, Stadt",73760,  22.81, 39 778, 19 752, 20 026,1 744
287,073170000000,"Pirmasens, Stadt",66953,  61.35, 39 761, 19 654, 20 107, 648
288,083170057057,"Kehl, Stadt",77694,  75.07, 39 584, 19 610, 19 974, 527
289,051580024024,"Mettmann, Stadt",40822,  42.56, 39 542, 19 163, 20 379, 929
290,120610260260,"Königs Wusterhausen, Stadt",15711,  96.04, 39 360, 19 382, 19 978, 410
291,146280110110,"Freital, Stadt",01705,  40.46, 39 281, 19 235, 20 046, 971
292,064360007007,"Hofheim am Taunus, Kreisstadt",65719,  57.43, 39 259, 19 195, 20 064, 684
293,064350019019,"Maintal, Stadt",63477,  32.41, 38 987, 19 545, 19 442,1 203
